day,date,service_type,line,min_delay
Sunday,2023-01-01T07:40:00Z,Regular,505,15
Sunday,2023-01-01T07:52:00Z,Regular,504,10
Sunday,2023-01-01T07:59:00Z,Regular,504,25
Sunday,2023-01-01T10:38:00Z,Regular,510,15
Sunday,2023-01-01T11:35:00Z,Regular,506,10
Sunday,2023-01-01T13:52:00Z,Regular,501,10
Sunday,2023-01-01T13:53:00Z,Regular,510,14
Sunday,2023-01-01T14:00:00Z,Regular,506,10
Sunday,2023-01-01T14:37:00Z,Regular,506,10
Sunday,2023-01-01T14:58:00Z,Regular,506,10
Sunday,2023-01-01T15:07:00Z,Regular,505,7
Sunday,2023-01-01T15:10:00Z,Regular,506,10
Sunday,2023-01-01T15:12:00Z,Regular,512,7
Sunday,2023-01-01T16:22:00Z,Regular,506,10
Sunday,2023-01-01T16:31:00Z,Regular,510,14
Sunday,2023-01-01T17:09:00Z,Regular,506,10
Sunday,2023-01-01T19:14:00Z,Regular,504,8
Sunday,2023-01-01T19:21:00Z,Regular,501,8
Sunday,2023-01-01T19:44:00Z,Regular,505,7
Sunday,2023-01-01T20:18:00Z,Regular,509,7
Sunday,2023-01-01T20:38:00Z,Regular,506,9
Sunday,2023-01-01T20:40:00Z,Regular,512,6
Sunday,2023-01-01T21:18:00Z,Regular,505,7
Sunday,2023-01-01T21:29:00Z,Regular,501,7
Sunday,2023-01-01T21:32:00Z,Regular,510,4
Sunday,2023-01-01T21:57:00Z,Regular,505,21
Sunday,2023-01-01T23:24:00Z,Regular,505,7
Sunday,2023-01-01T23:51:00Z,Regular,501,14
Sunday,2023-01-02T01:00:00Z,Regular,504,10
Sunday,2023-01-02T01:14:00Z,Regular,505,19
Sunday,2023-01-02T02:20:00Z,Regular,501,9
Sunday,2023-01-02T04:22:00Z,Regular,509,10
Sunday,2023-01-02T04:42:00Z,Regular,505,8
Sunday,2023-01-02T04:56:00Z,Regular,504,7
Monday,2023-01-02T10:17:00Z,Regular,504,18
Monday,2023-01-02T10:28:00Z,Regular,501,36
Monday,2023-01-02T11:28:00Z,Regular,501,10
Monday,2023-01-02T14:33:00Z,Regular,506,10
Monday,2023-01-02T17:48:00Z,Regular,501,7
Monday,2023-01-02T20:36:00Z,Regular,512,18
Monday,2023-01-02T20:52:00Z,Regular,505,10
Monday,2023-01-02T21:34:00Z,Regular,501,7
Monday,2023-01-03T00:18:00Z,Regular,501,24
Monday,2023-01-03T01:04:00Z,Regular,512,8
Monday,2023-01-03T01:55:00Z,Regular,506,37
Monday,2023-01-03T02:23:00Z,Regular,504,10
Monday,2023-01-03T03:44:00Z,Regular,505,10
Monday,2023-01-03T03:45:00Z,Regular,506,118
Monday,2023-01-03T03:47:00Z,Regular,506,10
Monday,2023-01-03T04:33:00Z,Regular,509,10
Monday,2023-01-03T04:49:00Z,Regular,509,80
Monday,2023-01-02T05:46:00Z,Regular,501,33
Monday,2023-01-02T06:15:00Z,Regular,505,10
Monday,2023-01-02T06:21:00Z,Regular,510,5
Monday,2023-01-02T06:24:00Z,Regular,501,10
Monday,2023-01-02T06:32:00Z,Regular,504,8
Tuesday,2023-01-03T11:38:00Z,Regular,505,9
Tuesday,2023-01-03T12:10:00Z,Regular,510,3
Tuesday,2023-01-03T12:49:00Z,Regular,501,12
Tuesday,2023-01-03T13:04:00Z,Regular,506,6
Tuesday,2023-01-03T13:32:00Z,Regular,501,6
Tuesday,2023-01-03T13:39:00Z,Regular,504,8
Tuesday,2023-01-03T17:18:00Z,Regular,504,7
Tuesday,2023-01-03T17:35:00Z,Regular,509,11
Tuesday,2023-01-03T19:46:00Z,Regular,505,8
Tuesday,2023-01-03T20:09:00Z,Regular,506,6
Tuesday,2023-01-03T20:34:00Z,Regular,506,6
Tuesday,2023-01-03T21:57:00Z,Regular,506,9
Tuesday,2023-01-03T21:59:00Z,Regular,505,8
Tuesday,2023-01-03T23:50:00Z,Regular,506,9
Tuesday,2023-01-04T00:20:00Z,Regular,504,5
Tuesday,2023-01-04T00:30:00Z,Regular,506,12
Tuesday,2023-01-04T00:38:00Z,Regular,505,8
Tuesday,2023-01-04T00:54:00Z,Regular,506,4
Tuesday,2023-01-04T02:00:00Z,Regular,501,8
Tuesday,2023-01-04T02:41:00Z,Regular,506,16
Tuesday,2023-01-04T03:00:00Z,Regular,501,10
Tuesday,2023-01-04T03:41:00Z,Regular,501,25
Tuesday,2023-01-04T03:50:00Z,Regular,506,10
Tuesday,2023-01-04T04:38:00Z,Regular,501,8
Tuesday,2023-01-03T05:31:00Z,Regular,510,6
Tuesday,2023-01-03T05:36:00Z,Regular,504,16
Wednesday,2023-01-04T11:37:00Z,Regular,503,8
Wednesday,2023-01-04T11:48:00Z,Regular,505,6
Wednesday,2023-01-04T11:54:00Z,Regular,504,13
Wednesday,2023-01-04T12:19:00Z,Regular,506,9
Wednesday,2023-01-04T12:29:00Z,Regular,506,7
Wednesday,2023-01-04T12:33:00Z,Regular,506,7
Wednesday,2023-01-04T12:37:00Z,Regular,501,6
Wednesday,2023-01-04T12:52:00Z,Regular,506,7
Wednesday,2023-01-04T13:01:00Z,Regular,501,6
Wednesday,2023-01-04T13:43:00Z,Regular,505,6
Wednesday,2023-01-04T15:00:00Z,Regular,510,4
Wednesday,2023-01-04T15:05:00Z,Regular,509,8
Wednesday,2023-01-04T16:20:00Z,Regular,501,8
Wednesday,2023-01-04T16:36:00Z,Regular,501,22
Wednesday,2023-01-04T16:47:00Z,Regular,501,22
Wednesday,2023-01-04T16:54:00Z,Regular,501,8
Wednesday,2023-01-04T18:55:00Z,Regular,511,8
Wednesday,2023-01-04T19:06:00Z,Regular,505,7
Wednesday,2023-01-04T19:24:00Z,Regular,503,10
Wednesday,2023-01-04T21:56:00Z,Regular,505,19
Wednesday,2023-01-04T23:59:00Z,Regular,506,10
Wednesday,2023-01-05T00:01:00Z,Regular,511,9
Wednesday,2023-01-05T00:03:00Z,Regular,506,10
Wednesday,2023-01-05T00:10:00Z,Regular,506,32
Wednesday,2023-01-05T00:23:00Z,Regular,501,8
Wednesday,2023-01-05T01:09:00Z,Regular,506,16
Wednesday,2023-01-05T02:12:00Z,Regular,504,10
Wednesday,2023-01-05T03:30:00Z,Regular,506,10
Wednesday,2023-01-05T03:31:00Z,Regular,505,27
Wednesday,2023-01-05T03:31:00Z,Regular,505,38
Wednesday,2023-01-05T03:33:00Z,Regular,506,10
Wednesday,2023-01-05T03:43:00Z,Regular,506,10
Wednesday,2023-01-05T03:49:00Z,Regular,506,10
Wednesday,2023-01-05T04:37:00Z,Regular,504,10
Thursday,2023-01-05T10:57:00Z,Regular,505,9
Thursday,2023-01-05T14:30:00Z,Regular,503,53
Thursday,2023-01-05T14:39:00Z,Regular,504,7
Thursday,2023-01-05T18:37:00Z,Regular,501,53
Thursday,2023-01-05T18:47:00Z,Regular,503,53
Thursday,2023-01-05T19:03:00Z,Regular,506,9
Thursday,2023-01-05T19:11:00Z,Regular,501,8
Thursday,2023-01-05T20:48:00Z,Regular,503,10
Thursday,2023-01-05T21:14:00Z,Regular,501,8
Thursday,2023-01-05T21:45:00Z,Regular,510,10
Thursday,2023-01-05T21:55:00Z,Regular,504,6
Thursday,2023-01-05T23:06:00Z,Regular,506,9
Thursday,2023-01-06T00:15:00Z,Regular,501,8
Thursday,2023-01-06T01:30:00Z,Regular,506,18
Thursday,2023-01-06T03:28:00Z,Regular,501,8
Thursday,2023-01-06T03:28:00Z,Regular,501,102
Thursday,2023-01-06T03:39:00Z,Regular,505,12
Thursday,2023-01-06T04:11:00Z,Regular,501,8
Thursday,2023-01-06T04:43:00Z,Regular,501,10
Thursday,2023-01-06T04:53:00Z,Regular,504,43
Thursday,2023-01-05T06:25:00Z,Regular,501,6
Friday,2023-01-06T11:16:00Z,Regular,504,8
Friday,2023-01-06T13:38:00Z,Regular,506,8
Friday,2023-01-06T14:56:00Z,Regular,506,7
Friday,2023-01-06T15:11:00Z,Regular,512,6
Friday,2023-01-06T15:15:00Z,Regular,512,10
Friday,2023-01-06T15:36:00Z,Regular,501,6
Friday,2023-01-06T17:18:00Z,Regular,506,5
Friday,2023-01-06T17:50:00Z,Regular,504,8
Friday,2023-01-06T18:35:00Z,Regular,512,19
Friday,2023-01-06T18:59:00Z,Regular,501,7
Friday,2023-01-06T19:03:00Z,Regular,501,7
Friday,2023-01-06T19:21:00Z,Regular,511,9
Friday,2023-01-06T19:24:00Z,Regular,501,7
Friday,2023-01-06T19:31:00Z,Regular,501,7
Friday,2023-01-06T19:52:00Z,Regular,506,9
Friday,2023-01-06T20:44:00Z,Regular,506,9
Friday,2023-01-06T20:48:00Z,Regular,505,7
Friday,2023-01-06T21:15:00Z,Regular,511,9
Friday,2023-01-06T22:45:00Z,Regular,512,10
Friday,2023-01-06T22:51:00Z,Regular,501,14
Friday,2023-01-06T23:10:00Z,Regular,512,16
Friday,2023-01-06T23:15:00Z,Regular,512,16
Friday,2023-01-06T23:40:00Z,Regular,510,5
Friday,2023-01-07T01:04:00Z,Regular,512,103
Friday,2023-01-07T01:37:00Z,Regular,505,11
Friday,2023-01-07T01:58:00Z,Regular,512,8
Friday,2023-01-07T02:28:00Z,Regular,505,13
Friday,2023-01-07T03:09:00Z,Regular,509,9
Friday,2023-01-07T03:36:00Z,Regular,505,5
Friday,2023-01-07T03:46:00Z,Regular,506,10
Friday,2023-01-07T04:08:00Z,Regular,501,10
Saturday,2023-01-07T07:13:00Z,Regular,505,51
Saturday,2023-01-07T07:31:00Z,Regular,510,22
Saturday,2023-01-07T07:39:00Z,Regular,510,22
Saturday,2023-01-07T09:41:00Z,Regular,511,9
Saturday,2023-01-07T13:17:00Z,Regular,501,21
Saturday,2023-01-07T15:36:00Z,Regular,506,10
Saturday,2023-01-07T15:50:00Z,Regular,505,7
Saturday,2023-01-07T18:08:00Z,Regular,504,9
Saturday,2023-01-07T18:44:00Z,Regular,505,14
Saturday,2023-01-07T19:02:00Z,Regular,501,26
Saturday,2023-01-07T19:22:00Z,Regular,510,8
Saturday,2023-01-07T19:23:00Z,Regular,501,6
Saturday,2023-01-07T19:38:00Z,Regular,504,8
Saturday,2023-01-07T19:45:00Z,Regular,504,11
Saturday,2023-01-07T20:08:00Z,Regular,501,5
Saturday,2023-01-07T20:20:00Z,Regular,504,9
Saturday,2023-01-07T20:35:00Z,Regular,501,5
Saturday,2023-01-07T20:38:00Z,Regular,504,27
Saturday,2023-01-07T21:14:00Z,Regular,505,11
Saturday,2023-01-07T21:51:00Z,Regular,504,9
Saturday,2023-01-07T21:55:00Z,Regular,505,11
Saturday,2023-01-07T23:03:00Z,Regular,506,10
Saturday,2023-01-07T23:53:00Z,Regular,505,35
Saturday,2023-01-07T23:56:00Z,Regular,509,57
Saturday,2023-01-08T00:06:00Z,Regular,511,46
Saturday,2023-01-08T00:33:00Z,Regular,504,10
Saturday,2023-01-08T00:51:00Z,Regular,504,9
Saturday,2023-01-08T01:24:00Z,Regular,505,30
Saturday,2023-01-08T03:01:00Z,Regular,506,10
Saturday,2023-01-08T03:47:00Z,Regular,501,10
Saturday,2023-01-08T04:09:00Z,Regular,505,15
Saturday,2023-01-08T04:14:00Z,Regular,506,16
Saturday,2023-01-07T05:20:00Z,Regular,501,10
